sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
M,Open,Raw,120,Squat,310,EINFALT Matthias,"Länderpokal Kraftdreikampf Classic Dornbirn, V",2025-07-05,
M,Jugend,Raw,120,Squat,270,KELEMEN Raphael,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,Junioren,Raw,120,Squat,297.5,BACHNER Ludwig,"Europameisterschat Allg KDK Västeras, Schweden",2021-12-12,
M,AK1,Raw,120,Squat,300,LEBERWURST Franz,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
M,AK2,Raw,120,Squat,240,KASPAREK Gernot,"Steirische Meisterschaft KDK Feldkirchen, St",2025-03-23,
M,AK3,Raw,120,Squat,177.5,HUEMER Franz,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
M,AK4,Raw,120,Squat,,,,,Rekord offen
M,Open,Raw,120+,Squat,325.5,NIKOLIC Philip,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,Jugend,Raw,120+,Squat,290,NIKOLIC Philip,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
M,Junioren,Raw,120+,Squat,325.5,NIKOLIC Philip,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,AK1,Raw,120+,Squat,262.5,FERSTL Günther,"Staatsmeisterschaft Allg KDK Amstetten, NÖ",2023-09-09,
M,AK2,Raw,120+,Squat,230,KERSCHBAUMER Bernd,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
M,AK3,Raw,120+,Squat,170,HABERFELLNER Günter,"Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
M,AK4,Raw,120+,Squat,,,,,Rekord offen
M,Jugend,Raw,53,Bench,,,,,Rekord offen
M,Junioren,Raw,53,Bench,,,,,Rekord offen
M,Open,Raw,59,Bench,120.5,SAVUT Panha Vong,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,Jugend,Raw,59,Bench,92.5,SEIDNITZER Julian,"Landesmeisterschaft St KDK Ottendorf, St",2020-08-22,
M,Junioren,Raw,59,Bench,120.5,SAVUT Panha Vong,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,AK1,Raw,59,Bench,105,MATHES Gerhard,"Österr. Meisterschaft Allg KDK Stockerau, Nö",2013-05-18,
M,AK2,Raw,59,Bench,50,"FENZL Josef, sen.","3. RAW-Meisterschaft Allg KDK Stockerau, Nö",2011-06-05,
M,AK3,Raw,59,Bench,45,"FENZL Josef, II","Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,AK4,Raw,59,Bench,,,,,Rekord offen
M,Open,Raw,66,Bench,162.5,CATENA Joel,"Weltmeisterschaft Allg KDK Chemnitz, Deutschland",2025-06-15,
M,Jugend,Raw,66,Bench,116,STEPKE Jakob,"Österr. Meisterschaft Jug KDK Lochen, Oö",2019-06-30,
M,Junioren,Raw,66,Bench,133,PERSOGLIO Adrian,"Steirische Meisterschaft KDK Stallhofen, St",2026-04-26,
M,AK1,Raw,66,Bench,102.5,WENKA Christian,"Europameisterschaft AK 1-4 KDK Albi, Frankreich",2020-03-13,
M,AK2,Raw,66,Bench,82.5,STADLHOFER Ewald,"Landesmeisterschaft St KDK Ottendorf, St",2020-08-22,
M,AK3,Raw,66,Bench,46,"FENZL Josef, II","Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
M,AK4,Raw,66,Bench,,,,,Rekord offen
M,Open,Raw,74,Bench,170.5,KARNER Gerald,"Steirische Meisterschaft KDK Feldkirchen, St",2024-03-24,
M,Jugend,Raw,74,Bench,147.5,HUTTERER Niklas,"Oberösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
M,Junioren,Raw,74,Bench,150.5,KAINBACHER Stephan,"Österr. Meisterschaft Nachwuchs KDK Frauenkirchen, B",2022-06-18,
M,AK1,Raw,74,Bench,135,LIEB Rene,"Wiener Meisterschaft KDK Stockerau, Nö",2023-04-23,
M,AK2,Raw,74,Bench,120,DEIMEL Ewald,"Österr. Meisterschaft AK 1-4 KDK Stockerau, Nö",2018-06-23,
M,AK3,Raw,74,Bench,93.5,STROHOFER Werner,"Österr. Meisterschaft Allg KDK Haid, Oö",2015-12-12,
M,AK4,Raw,74,Bench,75.5,STROHOFER Werner,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,Open,Raw,83,Bench,195,KREUZER Lukas,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Jugend,Raw,83,Bench,183,ZHOU Emilio,"Niederösterr. Meisterschaft Classic KDK Amstetten, Nö",2023-03-26,
M,Junioren,Raw,83,Bench,190,SCHNELL Raffael,"Europameisterschaft Nachwuchs KDK Druskininkai, Litauen",2025-12-07,
M,AK1,Raw,83,Bench,172.5,ZEILINGER Andreas,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
M,AK2,Raw,83,Bench,158.5,WEGERER Michael,"Europameisterschaft Masters KDK Budapest, Ungarn",2023-03-05,
M,AK3,Raw,83,Bench,102.5,REITTER Wolfgang,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK4,Raw,83,Bench,90,WINKLER Matthias,"Salzburger Meisterschaft KDK Grödig, S",2022-05-15,
M,Open,Raw,93,Bench,211,KREUZER Lukas,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,93,Bench,175.5,PRIESCHING Simon,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,Junioren,Raw,93,Bench,200.5,PITSCHEIDER Matthias,"Tiroler Meisterschaft Classic KDK Dornbirn, V",2024-04-27,
M,AK1,Raw,93,Bench,195,KLOTZ Christian,"Europameisterschaft AK 1-4 KDK Thisted, Dänemark",2018-03-10,
M,AK2,Raw,93,Bench,165,MUSIL Michael,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK3,Raw,93,Bench,140,SOLONAKIS Dimitros,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
M,AK4,Raw,93,Bench,101,KHOSROW Riahi,"Landesmeisterschaft Nö KDK Amstetten, Nö",2021-08-14,
M,Open,Raw,105,Bench,210.5,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,Jugend,Raw,105,Bench,210.5,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,Junioren,Raw,105,Bench,210.5,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,AK1,Raw,105,Bench,210,KLOTZ Christian,"Europameisterschaft AK 1-4 KDK Györ, Ungarn",2019-03-10,
M,AK2,Raw,105,Bench,162.5,MUSIL Michael,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK3,Raw,105,Bench,163,HUEMER Franz,"Salzburger Meisterschaft KDK Salzburg, S",2023-04-23,
M,AK4,Raw,105,Bench,75,WAGENLEITNER Günther,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2022-03-20,
M,Open,Raw,120,Bench,227.5,KASPAREK Gernot,"Europameisterschaft Allg 1-4 KDK Pilsen, Tschechien",2015-03-28,
M,Jugend,Raw,120,Bench,160,SARIOGLU Emirhan,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,Junioren,Raw,120,Bench,195,LEHNER Philipp,"Oberösterr. Meisterschaft KDK Amstetten, Nö",2024-05-12,
M,AK1,Raw,120,Bench,227.5,KASPAREK Gernot,"Europameisterschaft Allg 1-4 KDK Pilsen, Tschechien",2015-03-28,
M,AK2,Raw,120,Bench,182.5,KASPAREK Gernot,"Steirische Meisterschaft KDK Feldkirchen, St",2025-03-23,
M,AK3,Raw,120,Bench,161,HUEMER Franz,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
M,AK4,Raw,120,Bench,,,,,Rekord offen
M,Open,Raw,120+,Bench,250,RENNER Alexander,"Burgenländische Meisterschaft KDK Frauenkirchen, B",2024-04-27,
M,Jugend,Raw,120+,Bench,182.5,NIKOLIC Philip,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
M,Junioren,Raw,120+,Bench,228,NIKOLIC Philip,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,AK1,Raw,120+,Bench,190,PUCHEGGER Jürgen,"Landesmeisterschaft W KDK Stockerau, Nö",2021-08-08,
