Place,Name,BirthDate,BirthYear,Country,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment,_meet_name,_meet_date,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Tested,Age,Team
16,Daniel Iporre Castro,,1990,Austria,81.9,135,142.5,150,150,607.5,83,Open,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,205,212.5,217.5,217.5,220,240,-250,240,,,
13,Alexander Taschner,,1989,Austria,92.2,155,160,167.5,167.5,680,93,Open,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,215,-230,230,230,270,282.5,-292.5,282.5,,,
12,Michael Leitner,,1994,Austria,118.3,172.5,180,187.5,187.5,810,120,Open,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,-260,272.5,287.5,287.5,295,315,335,335,,,
7,Klaus Kaufmann,,1996,Austria,72.75,125,132.5,140,140,610,74,Juniors,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,200,212.5,220,220,-235,235,250,250,,,
8,René Hofer,,1997,Austria,82.9,132.5,-140,-140,132.5,657.5,83,Juniors,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,245,255,-260,255,270,-282.5,-292.5,270,,,
11,Paul Egger,,1998,Austria,90.65,125,130,135,135,667.5,93,Juniors,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,227.5,240,252.5,252.5,265,-280,280,280,,,
9,Ludwig Bachner,,1998,Austria,103.95,155,165,170,170,730,105,Juniors,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,260,270,-285,270,270,290,-300,290,,,
9,Christian Raunikar,,1996,Austria,119,155,162.5,167.5,167.5,747.5,120,Juniors,SBD,M,Raw,European Classic Powerlifting Championships,2018-11-24,257.5,-275,280,280,275,290,300,300,,,
10,Barbara Gapp,,1981,Austria,51.2,55,57.5,-60,57.5,327.5,52,Open,SBD,F,Raw,European Classic Powerlifting Championships,2018-11-24,90,95,100,100,165,170,-196,170,,,
DQ,Martina Lang,,1988,Austria,57,-80,80,-90,80,,57,Open,SBD,F,Raw,European Classic Powerlifting Championships,2018-11-24,-125,-125,-125,,125,130,-135,130,,,
14,Ruth Viehauser,,1988,Austria,62.35,67.5,72.5,75,75,362.5,63,Open,SBD,F,Raw,European Classic Powerlifting Championships,2018-11-24,122.5,127.5,132.5,132.5,145,-155,155,155,,,
8,Pantea Supanetz,,1990,Austria,69.4,90,95,100,100,437.5,72,Open,SBD,F,Raw,European Classic Powerlifting Championships,2018-11-24,160,167.5,-172.5,167.5,160,170,-175,170,,,
3,Helmut Baumhackl,,1954,Austria,93.92,50,60,-67.5,60,247.5,105,Masters 4,SBD,M,Raw,European Masters Classic Powerlifting Championships,2025-02-09,60,75,80,80,90,100,107.5,107.5,,,
4,Michael Wegerer,,1970,Austria,82.65,147.5,-152.5,152.5,152.5,572.5,83,Masters 2,SBD,M,Raw,European Masters Classic Powerlifting Championships,2025-02-09,-170,175,185,185,210,225,235,235,,,
10,Rene Lieb,,1978,Austria,73.54,127.5,132.5,-135,132.5,560,74,Masters 1,SBD,M,Raw,European Masters Classic Powerlifting Championships,2025-02-09,195,-202.5,202.5,202.5,200,215,225,225,,,
11,Johannes Schober,,1985,Austria,73.02,120,127.5,-130,127.5,557.5,74,Masters 1,SBD,M,Raw,European Masters Classic Powerlifting Championships,2025-02-09,185,195,-205,195,225,235,-240,235,,,
5,Dagmar Mimra,,1973,Austria,99.35,-80,80,-85,80,400,84+,Masters 2,SBD,F,Raw,European Masters Classic Powerlifting Championships,2025-02-09,137.5,145,150,150,150,160,170,170,,,
